paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity
5-X1XzdAWcC,320.0,0.21875,70.0,4.2093750000000005,5.890051086578779,29.0
quCOIL8JQnp,659.0,0.13353566009104703,88.0,3.8770864946889274,4.123298028928351,28.0
_BSowr-_ED,43.0,0.627906976744186,27.0,1.7441860465116277,1.928397104627052,10.0
B92TMCG_7rp,103.0,0.5922330097087378,61.0,8.47572815533981,6.9759315355098686,24.0
rMQ1Wme3S0c,177.0,0.3785310734463277,67.0,3.5706214689265527,4.601980324494714,24.0
hH36JeQZDaO,82.0,0.4268292682926829,35.0,3.451219512195122,3.6248539826679855,13.0
oQjWltREeRA,211.0,0.27014218009478674,57.0,3.184834123222747,2.9356523321420416,21.0
zoTUH3Fjup,397.0,0.19395465994962216,77.0,4.596977329974808,5.6464694370039865,32.0
91efl6aSU2d,167.0,0.39520958083832336,66.0,4.053892215568862,3.6950919662323627,21.0
tKMLGb7MWC,615.0,0.13658536585365855,84.0,3.1138211382113865,3.9963404514364114,28.0
rzrqh85f4Sc,448.0,0.11160714285714286,50.0,1.6183035714285703,3.3357027073667003,18.0
r0LQFDOwfbU,159.0,0.37735849056603776,60.0,5.49685534591195,6.570816004116644,32.0
Iyi7eb9VIW,681.0,0.14390602055800295,98.0,3.343612334801761,4.7957693846421705,34.0
Z2oC6xxaWPL,226.0,0.1504424778761062,34.0,0.4646017699115043,1.9393204011936103,18.0
